source,target,edge_type,weight,stage,scenario,cost_mechanism,value_outcome,evidence_source,evidence_level,note
N012,N019,data_flow,3,2026,算法治理,运维成本,评估模型和设备运行稳定性,S004,company,设备数据用于算法评估
N016,N017,technology_collaboration,4,2024,算法调度,调度成本,预测结果进入能源调度模型,S004,company,预测与调度模型串联
N015,N017,technology_collaboration,4,2024,需求响应,调度成本,将可调负荷识别结果转化为调度策略,S004,company,工业负荷模型支撑调度
N017,N002,dispatch,5,all,虚拟电厂,调度成本,输出虚拟电厂调度指令,S004,company,调度模型是平台智能化核心
N018,N003,technology_collaboration,4,2026,收益优化,交易成本,把收益评估结果用于交易策略,S004,company,收益模型连接交易平台
N019,N017,technology_collaboration,3,2026,算法治理,协调成本,改进调度模型稳定性和可解释性,S004,company,算法评估反馈调度模型
N002,N008,dispatch,4,2024,虚拟电厂,柔性成本,调度充换电负荷削峰填谷,S002,company,平台对可调负荷进行控制
N002,N009,dispatch,5,2024,需求响应,协调成本,组织工商业用户参与需求响应,S006,industry,平台聚合用户侧负荷
N002,N007,dispatch,4,2025,虚拟电厂,调度成本,通过储能平滑负荷波动,S005,industry,储能接受平台调度
N002,N023,market_trade,4,2024,电力现货,交易成本,根据价格信号优化购售电策略,S006,official,平台连接现货市场
N002,N024,market_trade,5,2024,辅助服务,交易成本,将调节能力转化为辅助服务收益,S006,official,辅助服务是灵活性价值变现入口
N002,N027,market_trade,5,2024,需求响应,柔性成本,组织负荷侧参与响应获得收益,S006,official,需求响应收益反哺客户
N003,N023,market_trade,4,2024,电力现货,交易成本,降低价格波动中的交易摩擦,S006,official,交易平台对接现货市场
N003,N025,market_trade,5,2025,绿电交易,绿色合规成本,为算力和园区客户匹配绿电,S005,official,绿电市场服务低碳需求
N003,N026,market_trade,4,2026,碳交易,绿色合规成本,形成低碳权益和合规证明,S005,industry,碳与绿证市场支持绿色价值
N003,N024,market_trade,3,2026,辅助服务,交易成本,沉淀调节收益结算能力,S006,industry,交易平台扩展辅助服务
N004,N029,energy_supply,4,2025,零碳园区,能源成本,为园区客户提供综合能源服务,S002,simulated,园区平台与客户连接为模拟关系
N004,N030,energy_supply,3,2025,AIDC,能源成本,为园区内智算负荷提供低碳供能,S007,simulated,零碳园区承接算力场景
N005,N030,energy_supply,4,2025,AIDC,绿色合规成本,支撑智算客户低碳稳定用能,S007,industry,清洁能源直接支撑算力客户
N007,N030,energy_supply,3,2025,AIDC,柔性成本,提高算力负荷用能可靠性,S007,industry,储能缓冲算力负荷波动
N030,N010,data_flow,4,2025,AIDC,能源成本,将算力需求转化为可预测负荷,S007,industry,客户需求形成数据中心负荷
N029,N009,data_flow,3,2025,零碳园区,协调成本,园区客户负荷进入需求响应管理,S006,simulated,园区需求数据用于负荷聚合
N028,N009,data_flow,4,2024,需求响应,协调成本,工业用户提供可调负荷数据,S006,industry,工业用户是负荷响应主体
N031,N009,data_flow,2,2026,公共机构,绿色合规成本,公共机构低碳治理进入负荷管理,S005,simulated,公共机构场景为补充连接
N002,N028,dispatch,4,2024,需求响应,协调成本,向工业用户输出调节策略,S006,industry,平台连接工业客户
N002,N029,dispatch,3,2025,零碳园区,协调成本,向园区客户输出能源管理策略,S002,simulated,平台管理园区客户需求
N002,N030,dispatch,3,2025,AIDC,能源成本,为智算客户提供稳定低碳用能安排,S007,industry,算电协同面向智算客户
N002,N031,dispatch,2,2026,公共机构,绿色合规成本,提供公共低碳能源管理,S005,simulated,公共机构为扩展场景
N023,N036,value_share,3,2026,电力现货,收益分配,把价差管理收益纳入分成机制,S006,industry,现货收益进入价值分配
N024,N036,value_share,4,2026,辅助服务,收益分配,辅助服务收益在平台和资源间分配,S006,industry,调节收益需要分成机制
N027,N035,value_share,5,2026,需求响应,收益分配,将响应收益反馈给用户侧负荷,S006,official,需求响应收益反哺用户
N025,N037,value_share,4,2027,绿电交易,绿色合规成本,形成绿色用能溢价和品牌价值,S005,official,绿电交易支撑绿色溢价
N026,N037,value_share,3,2027,碳交易,绿色合规成本,把碳合规和绿证转化为价值证明,S005,industry,碳与绿证增强可追溯价值
N035,N028,value_share,4,2026,需求响应,收益分配,工业用户获得节能和响应收益,S006,industry,价值共享增强客户参与意愿
N035,N029,value_share,4,2026,零碳园区,收益分配,园区客户分享节能收益,S002,simulated,节能收益共享为模拟机制
N036,N001,value_share,4,2026,辅助服务,收益分配,公司获得调节服务和平台运营收益,S006,industry,收益分成反哺公司能力建设
N036,N028,value_share,3,2026,需求响应,收益分配,工业用户获得调节收益分成,S006,industry,负荷侧收益分配机制
N037,N030,value_share,4,2027,AIDC,绿色合规成本,智算客户获得低碳算力价值证明,S007,simulated,绿色溢价与算力客户连接
N037,N001,value_share,3,2027,绿电交易,绿色合规成本,公司获得绿色服务溢价和客户粘性,S007,simulated,绿色价值回流公司
N032,N012,technology_collaboration,3,2024,设备接入,运维成本,提升设备运行数据采集质量,S004,simulated,设备供应商支撑数据采集
N032,N007,technology_collaboration,3,2025,储能接入,柔性成本,支撑储能设备建设和运维,S005,simulated,设备供应商支撑储能能力
N033,N030,technology_collaboration,5,2025,AIDC,协调成本,把算力需求导入能源服务场景,S007,industry,算力生态伙伴连接客户需求
N033,N018,technology_collaboration,4,2026,收益优化,交易成本,将算力需求特征纳入收益模型,S007,industry,算力生态反馈交易收益模型
N033,N004,technology_collaboration,3,2025,零碳园区,协调成本,共同建设算电协同场景,S007,simulated,生态伙伴与园区平台连接
N034,N002,dispatch,3,2025,地方协同,协调成本,协助地方资源接入虚拟电厂,S006,industry,地方平台降低资源协调成本
N034,N025,market_trade,3,2025,绿电交易,绿色合规成本,连接区域绿电供给和客户需求,S005,industry,地方平台支撑绿电交易
N034,N023,market_trade,3,2025,电力现货,交易成本,提供区域市场价格和交易入口,S006,industry,地方市场规则影响交易
N034,N004,technology_collaboration,3,2025,零碳园区,协调成本,推动区域园区综合能源管理,S006,simulated,地方平台支撑园区服务
N012,N038,data_flow,3,2027,流程创新,运维成本,把设备数据沉淀为运维流程,S004,company,数据化运维流程降低风险
N019,N038,technology_collaboration,3,2027,算法治理,运维成本,用算法评估结果改进流程,S004,company,模型治理反馈流程创新
N038,N002,technology_collaboration,3,2027,虚拟电厂,协调成本,提升平台安全合规和运维效率,S004,simulated,流程创新反哺平台运营
N038,N001,value_share,2,2027,流程创新,协调成本,降低跨主体协同和运维风险,S004,simulated,流程创新产生内部管理价值
N018,N036,value_share,4,2026,收益优化,收益分配,将收益模型结果映射到分成规则,S004,company,收益优化模型支撑价值共享
