node_id,node_name,node_type,stage,value_role,cost_role,evidence_level,source_id,degree,in_degree,out_degree,weighted_degree,weighted_in_degree,weighted_out_degree,degree_centrality,betweenness_centrality,closeness_centrality,pagerank,weighted_degree_rank,betweenness_rank,pagerank_rank,community,interpretation,note
N027,需求响应市场,market,2024,demand_response_market,flexibility_cost,official,S006,3,2,1,14.0,9.0,5.0,0.081081,0.03003,1.409524,0.020654,18,18,15,0,需求响应市场承担交易或价值分配功能，连接调节能力和收益结果。,释放用户侧负荷调节价值
N007,新型储能,resource,2025,flexibility_buffer,flexibility_cost,industry,S005,5,2,3,17.0,7.0,10.0,0.135135,0.011261,1.267123,0.019901,11,23,16,0,新型储能在网络中承担flexibility_buffer角色，支撑flexibility_cost管理。,提升调节能力并降低峰谷波动成本
N037,绿色溢价机制,market,2027,green_value_rule,green_compliance_cost,simulated,S007,4,2,2,14.0,7.0,7.0,0.108108,0.068318,0.693533,0.017601,18,10,17,1,绿色溢价机制承担交易或价值分配功能，连接调节能力和收益结果。,支撑绿电、绿证和低碳算力价值证明
N008,充换电与可调负荷,resource,2024,flexible_load,flexibility_cost,company,S002,3,1,2,11.0,4.0,7.0,0.081081,0.0,1.245791,0.016716,27,26,18,0,充换电与可调负荷在网络中承担flexible_load角色，支撑flexibility_cost管理。,来自充换电和终端侧的可调节资源
N003,能源交易平台,platform,2024,market_connector,transaction_cost,company,S002,7,3,4,29.0,13.0,16.0,0.189189,0.085586,0.91622,0.013754,4,9,19,1,能源交易平台在网络中承担market_connector角色，支撑transaction_cost管理。,支撑电力交易、绿电交易和辅助服务收益
N031,公共机构客户,customer,2026,public_customer,green_compliance_cost,industry,S005,2,1,1,4.0,2.0,2.0,0.054054,0.0,0.962289,0.010332,34,26,20,0,公共机构客户体现需求侧价值共创，是网络收益回流的重要端点。,公共低碳治理和能效管理需求主体
N018,收益优化模型,capability,2026,revenue_optimizer,transaction_cost,company,S004,4,2,2,16.0,8.0,8.0,0.108108,0.033784,0.736807,0.00976,13,15,21,1,收益优化模型承担数据转化为调度或收益决策的能力节点功能。,平衡电力交易、辅助服务和需求响应收益
N016,分布式能源负荷预测模型,capability,2024,resource_forecaster,dispatch_cost,company,S004,3,2,1,12.0,8.0,4.0,0.081081,0.023273,0.597577,0.009727,25,20,22,2,分布式能源负荷预测模型承担数据转化为调度或收益决策的能力节点功能。,预测分布式资源和负荷曲线
N025,绿电交易市场,market,2025,green_premium_market,green_compliance_cost,official,S005,3,2,1,12.0,8.0,4.0,0.081081,0.052553,0.805808,0.009193,25,11,23,1,绿电交易市场承担交易或价值分配功能，连接调节能力和收益结果。,支撑绿色电力消费和低碳溢价
N033,算力生态伙伴,partner,2025,computing_partner,coordination_cost,industry,S007,4,1,3,16.0,4.0,12.0,0.108108,0.033784,0.866172,0.008673,13,15,24,3,算力生态伙伴在网络中承担computing_partner角色，支撑coordination_cost管理。,连接算力需求、能源服务和客户场景
N038,安全合规与运维流程,capability,2027,process_innovation,operation_cost,simulated,S004,4,2,2,11.0,6.0,5.0,0.108108,0.033033,0.558772,0.008216,27,17,25,2,安全合规与运维流程承担数据转化为调度或收益决策的能力节点功能。,通过流程创新降低运维和协同风险
N034,地方能源平台,partner,2025,local_coordinator,coordination_cost,industry,S006,5,1,4,15.0,3.0,12.0,0.135135,0.0,0.810811,0.007492,16,26,26,1,地方能源平台在网络中承担local_coordinator角色，支撑coordination_cost管理。,支撑地方资源接入和市场规则落地
N032,设备供应商,partner,2024,technology_supplier,operation_cost,simulated,S004,3,1,2,9.0,3.0,6.0,0.081081,0.104354,0.815277,0.007492,29,6,26,2,设备供应商在网络中承担technology_supplier角色，支撑operation_cost管理。,支撑设备数据采集和储能等硬件能力
N012,设备运行数据,resource,2024,data_input,operation_cost,company,S004,4,1,3,13.0,3.0,10.0,0.108108,0.086336,0.654288,0.007132,22,8,28,2,设备运行数据在网络中承担data_input角色，支撑operation_cost管理。,用于设备状态监测和调度评估
N026,碳交易与绿证市场,market,2026,carbon_value_market,green_compliance_cost,industry,S005,2,1,1,7.0,4.0,3.0,0.054054,0.0,0.759494,0.00687,33,26,29,1,碳交易与绿证市场承担交易或价值分配功能，连接调节能力和收益结果。,把碳约束转化为合规与价值证明
N019,算法评估模型,capability,2026,model_governance,coordination_cost,company,S004,3,1,2,9.0,3.0,6.0,0.081081,0.0,0.549097,0.005766,29,26,30,2,算法评估模型承担数据转化为调度或收益决策的能力节点功能。,评估算法稳定性和场景适配性
N022,电力市场化改革规则,policy,2024,market_rule,transaction_cost,official,S006,4,0,4,18.0,0.0,18.0,0.108108,0.0,0.0,0.003947,9,26,31,1,电力市场化改革规则主要提供政策约束和规则输入，影响算电协同网络的演化方向。,影响现货、辅助服务和需求响应市场机制
N005,清洁能源资源,resource,all,resource_holder,energy_cost,official,S005,3,0,3,13.0,0.0,13.0,0.081081,0.0,0.0,0.003947,22,26,31,3,清洁能源资源在网络中承担resource_holder角色，支撑energy_cost管理。,绿电供给和低碳算力的基础资源
N020,新型电力系统行动方案（2024-2027年）,policy,2024,policy_driver,green_compliance_cost,official,S005,2,0,2,9.0,0.0,9.0,0.054054,0.0,0.0,0.003947,29,26,31,2,新型电力系统行动方案（2024-2027年）主要提供政策约束和规则输入，影响算电协同网络的演化方向。,2024-2027 战略阶段的政策背景
N021,数据中心绿色低碳政策,policy,2025,policy_driver,green_compliance_cost,official,S007,2,0,2,8.0,0.0,8.0,0.054054,0.0,0.0,0.003947,32,26,31,3,数据中心绿色低碳政策主要提供政策约束和规则输入，影响算电协同网络的演化方向。,推动算力中心与绿电资源协同
N006,热电联产资源,resource,2024,resource_holder,energy_cost,company,S002,1,0,1,4.0,0.0,4.0,0.027027,0.0,0.0,0.003947,34,26,31,0,热电联产资源在网络中承担resource_holder角色，支撑energy_cost管理。,公司能源资产与稳定供能能力的组成部分
N011,气象数据资源,resource,2024,data_input,coordination_cost,company,S004,1,0,1,4.0,0.0,4.0,0.027027,0.0,0.0,0.003947,34,26,31,2,气象数据资源在网络中承担data_input角色，支撑coordination_cost管理。,用于预测新能源出力和负荷波动
N013,电价与市场数据,resource,2024,data_input,transaction_cost,company,S004,1,0,1,4.0,0.0,4.0,0.027027,0.0,0.0,0.003947,34,26,31,1,电价与市场数据在网络中承担data_input角色，支撑transaction_cost管理。,用于现货和辅助服务收益优化
N014,政策与碳约束数据,policy,2024,rule_input,green_compliance_cost,official,S005,1,0,1,4.0,0.0,4.0,0.027027,0.0,0.0,0.003947,34,26,31,2,政策与碳约束数据主要提供政策约束和规则输入，影响算电协同网络的演化方向。,用于反映电力市场化、绿电和低碳约束
